ticker,sector,prob_breakeven,end,fcf_operativo,burn_rate,retained_earnings,razones_favor,razones_contra
USNA,Medicinal Chemicals & Botanical Products,0.6177560444137054,2026-01-03,-3390000.0,3390000.0,467495000.0,"retained_earnings (+0.119), utilidad_operativa (+0.098), pasivos_corrientes (+0.054)","capex (-0.081), gastos_sga (-0.045), recompra_acciones (-0.044)"
OXM,"Men's & Boys' Furnishgs, Work Clothg, & Allied Garments",0.6172537046742692,2025-11-01,-9090000.0,9090000.0,313568000.0,"retained_earnings (+0.106), cambio_inventario (+0.097), ppe_neto (+0.090)","capex (-0.113), gastos_sga (-0.062), recompra_acciones (-0.048)"
AIT,"Wholesale-Machinery, Equipment & Supplies",0.6161721880810799,2025-12-31,-3908000.0,3908000.0,2626827000.0,"retained_earnings (+0.124), fcf_inversor (+0.089), utilidad_operativa (+0.083)","capex (-0.075), gastos_sga (-0.068), caja (-0.054)"
KE,Printed Circuit Boards,0.6154447924956328,2025-12-31,-59989000.0,59989000.0,347271000.0,"recompra_acciones (+0.122), retained_earnings (+0.095), ppe_neto (+0.084)","cambio_inventario (-0.091), capex (-0.072), gastos_sga (-0.041)"
IIIN,"Steel Works, Blast Furnaces & Rolling & Finishing Mills",0.6151989726627447,2025-12-27,-701000.0,701000.0,249750000.0,"retained_earnings (+0.163), pasivos_corrientes (+0.061), utilidad_neta (+0.052)","cambio_inventario (-0.064), capex (-0.046), gastos_sga (-0.038)"
AVO,Agricultural Services,0.6136239770970614,2026-01-31,-3000000.0,3000000.0,338600000.0,"ppe_neto (+0.111), utilidad_operativa (+0.095), retained_earnings (+0.094)","capex (-0.107), gastos_sga (-0.045), recompra_acciones (-0.044)"
ASTH,Services-Management Consulting Services,0.6123538553949819,2025-12-31,-2886000.0,2886000.0,302486000.0,"utilidad_operativa (+0.084), retained_earnings (+0.077), pasivos_corrientes (+0.055)","capex (-0.090), ppe_neto (-0.065), caja (-0.035)"
FN,Telephone & Telegraph Apparatus,0.611982620085357,2025-12-26,-50258990.0,50258990.0,2301851000.0,"recompra_acciones (+0.197), retained_earnings (+0.090), utilidad_operativa (+0.076)","cambio_inventario (-0.130), capex (-0.055), caja (-0.039)"
BGS,Food and Kindred Products,0.607463315294098,2026-01-03,-29518000.0,29518000.0,464971000.0,"retained_earnings (+0.088), utilidad_operativa (+0.082), ppe_neto (+0.061)","cambio_inventario (-0.134), capex (-0.087), utilidad_neta_lag4 (-0.040)"
GEO,General Bldg Contractors - Residential Bldgs,0.6072149983446209,2025-12-31,-117337000.0,117337000.0,262486000.0,"ppe_neto (+0.155), retained_earnings (+0.087), utilidad_operativa (+0.072)","capex (-0.133), fcf_inversor (-0.042), caja_cambio_pct (-0.038)"
SKYT,Semiconductors & Related Devices,0.6035949080973464,2025-12-28,-36073000.0,36073000.0,-7276000.0,"pasivos_corrientes (+0.091), ratio_corriente (+0.083), cuentas_por_cobrar (+0.082)","capex (-0.107), recompra_acciones (-0.054), retained_earnings (-0.050)"
WNC,Truck Trailers,0.6026463453782516,2025-12-31,-57434000.0,57434000.0,356964000.0,"retained_earnings (+0.114), cambio_inventario (+0.089), ppe_neto (+0.076)","capex (-0.135), gastos_sga (-0.075), recompra_acciones (-0.056)"
MHO,Operative Builders,0.6002342207892774,2025-12-31,-8707008.0,8707008.0,3204043000.0,"retained_earnings (+0.115), utilidad_operativa (+0.084), cambio_inventario (+0.055)","capex (-0.085), ppe_neto (-0.078), fcf_inversor (-0.040)"
