ticker,sector,end,Y,ano_test,prob_breakeven
MNPR,Pharmaceutical Preparations,2018-09-30,0.0,2018,0.14961973390153346
MNPR,Pharmaceutical Preparations,2018-12-31,0.0,2018,0.130708309569097
MNRO,"Services-Automotive Repair, Services & Parking",2018-09-29,1.0,2018,0.8512513877394895
MOD,Motor Vehicle Parts & Accessories,2018-06-30,1.0,2018,0.6895831087074247
MOD,Motor Vehicle Parts & Accessories,2018-09-30,1.0,2018,0.7995876694482981
MOS,Agricultural Chemicals,2018-03-31,1.0,2018,0.46559451060380425
MOS,Agricultural Chemicals,2018-06-30,0.0,2018,0.5143055738226958
MOV,"Watches, Clocks, Clockwork Operated Devices/Parts",2018-04-30,1.0,2018,0.608749760244339
MOV,"Watches, Clocks, Clockwork Operated Devices/Parts",2018-07-31,0.0,2018,0.7244689261698006
MPAA,Motor Vehicle Parts & Accessories,2018-03-31,0.0,2018,0.543180146014016
MPAA,Motor Vehicle Parts & Accessories,2018-06-30,0.0,2018,0.4121845158914868
MPAA,Motor Vehicle Parts & Accessories,2018-12-31,0.0,2018,0.47498720302153286
MPX,Ship & Boat Building & Repairing,2018-06-30,1.0,2018,0.7254059831879441
MRDN,Services-Prepackaged Software,2018-01-31,1.0,2018,0.1633800710781592
MRTN,Trucking (No Local),2018-06-30,1.0,2018,0.8284288930750703
MSA,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",2018-06-30,1.0,2018,0.7655291222612164
MSGS,Services-Miscellaneous Amusement & Recreation,2018-09-30,0.0,2018,0.5925607092815677
MSGS,Services-Miscellaneous Amusement & Recreation,2018-12-31,1.0,2018,0.791426350173688
MSM,Wholesale-Industrial Machinery & Equipment,2018-03-03,1.0,2018,0.8637840612520636
MTCH,"Services-Computer Programming, Data Processing, Etc.",2018-06-30,1.0,2018,0.720850819221417
MTH,Operative Builders,2018-03-31,1.0,2018,0.3893936277244453
MTN,Services-Miscellaneous Amusement & Recreation,2018-01-31,1.0,2018,0.8381635951496822
MTRN,Metal Forgings & Stampings,2018-03-30,1.0,2018,0.7038752847334592
MTRN,Metal Forgings & Stampings,2018-06-29,1.0,2018,0.7779253889953623
MTRX,Construction - Special Trade Contractors,2018-12-31,1.0,2018,0.7214836365967277
MTSI,Semiconductors & Related Devices,2018-03-30,1.0,2018,0.8359924724229599
MTUS,"Steel Works, Blast Furnaces & Rolling Mills (Coke Ovens)",2018-03-31,0.0,2018,0.5039046683885381
MTUS,"Steel Works, Blast Furnaces & Rolling Mills (Coke Ovens)",2018-06-30,0.0,2018,0.7163832158579346
MTW,Construction Machinery & Equip,2018-03-31,0.0,2018,0.42234818303199323
MTW,Construction Machinery & Equip,2018-09-30,0.0,2018,0.5244892459729611
MTW,Construction Machinery & Equip,2018-12-31,1.0,2018,0.5311753651948964
MTX,Industrial Inorganic Chemicals,2018-07-01,1.0,2018,0.8234160798222849
MTZ,"Water, Sewer, Pipeline, Comm & Power Line Construction",2018-06-30,1.0,2018,0.7366864551939964
MUSA,Retail-Auto Dealers & Gasoline Stations,2018-06-30,1.0,2018,0.8539496849652692
MVIS,"Electronic Components, NEC",2018-03-31,0.0,2018,0.2081492608696956
MVIS,"Electronic Components, NEC",2018-06-30,0.0,2018,0.26885988398324007
MVIS,"Electronic Components, NEC",2018-09-30,0.0,2018,0.46050430874647996
MVIS,"Electronic Components, NEC",2018-12-31,0.0,2018,0.13320311416744612
MXL,Semiconductors & Related Devices,2018-06-30,1.0,2018,0.7799490780948648
MYE,"Plastics Products, NEC",2018-06-30,1.0,2018,0.6870262105731187
MYGN,In Vitro & In Vivo Diagnostic Substances,2018-12-31,1.0,2018,0.5396207321039879
MYO,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",2018-03-31,0.0,2018,0.07807309323953768
MYO,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",2018-06-30,0.0,2018,0.1128490886865266
MYO,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",2018-09-30,0.0,2018,0.0700523176182878
MYO,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",2018-12-31,0.0,2018,0.06691305290909101
MZTI,"Canned, Frozen & Preservd Fruit, Veg & Food Specialties",2018-12-31,1.0,2018,0.8136277318101928
NAGE,Medicinal Chemicals & Botanical Products,2018-03-31,0.0,2018,0.15776115825487153
NAGE,Medicinal Chemicals & Botanical Products,2018-06-30,0.0,2018,0.19268143181305336
NAGE,Medicinal Chemicals & Botanical Products,2018-09-30,0.0,2018,0.19718470524690154
NAGE,Medicinal Chemicals & Botanical Products,2018-12-31,0.0,2018,0.19646589419403632
NATH,Retail-Eating  Places,2018-06-24,1.0,2018,0.5964956005033282
NATH,Retail-Eating  Places,2018-12-23,0.0,2018,0.6049058879423539
NB,Metal Mining,2018-03-31,0.0,2018,0.14797255408121868
NB,Metal Mining,2018-06-30,0.0,2018,0.20414260457747607
NB,Metal Mining,2018-09-30,1.0,2018,0.16510299207280324
NBIX,"Biological Products, (No Diagnostic Substances)",2018-03-31,1.0,2018,0.3526054811095919
NC,Bituminous Coal & Lignite Surface Mining,2018-03-31,1.0,2018,0.7075477903986191
NC,Bituminous Coal & Lignite Surface Mining,2018-06-30,1.0,2018,0.7520142010966924
NCLH,Water Transportation,2018-06-30,1.0,2018,0.9300966729215446
NDSN,"General Industrial Machinery & Equipment, NEC",2018-04-30,1.0,2018,0.8135171259512579
NEOG,In Vitro & In Vivo Diagnostic Substances,2018-11-30,1.0,2018,0.734690676486017
NEON,"Electronic Components, NEC",2018-03-31,0.0,2018,0.18371178337933441
NEON,"Electronic Components, NEC",2018-09-30,0.0,2018,0.1399554286030603
NEON,"Electronic Components, NEC",2018-12-31,0.0,2018,0.13881821937800798
NEU,Industrial Organic Chemicals,2018-06-30,1.0,2018,0.8010764179915075
NG,Gold and Silver Ores,2018-02-28,0.0,2018,0.16883906141784452
NG,Gold and Silver Ores,2018-05-31,0.0,2018,0.46711045665729484
NG,Gold and Silver Ores,2018-08-31,0.0,2018,0.20121494633460899
NG,Gold and Silver Ores,2018-11-30,0.0,2018,0.23892707380922487
NGNE,Pharmaceutical Preparations,2018-03-31,1.0,2018,0.13869541497779786
NGNE,Pharmaceutical Preparations,2018-09-30,0.0,2018,0.13535708130285415
NGNE,Pharmaceutical Preparations,2018-12-31,0.0,2018,0.1614885723903519
NGVC,Retail-Grocery Stores,2018-03-31,1.0,2018,0.8396037557917628
NGVT,Chemicals & Allied Products,2018-06-30,1.0,2018,0.7902883633820756
NHC,Services-Skilled Nursing Care Facilities,2018-06-30,1.0,2018,0.8530726316203715
NL,Industrial Inorganic Chemicals,2018-06-30,1.0,2018,0.6661359474483469
NOV,Oil & Gas Field Machinery & Equipment,2018-03-31,0.0,2018,0.33350472532451736
NOV,Oil & Gas Field Machinery & Equipment,2018-06-30,1.0,2018,0.49076314776514995
NOVT,"Miscellaneous Electrical Machinery, Equipment & Supplies",2018-06-29,1.0,2018,0.8469789825040219
NPKI,Services-Miscellaneous Equipment Rental & Leasing,2018-06-30,1.0,2018,0.7367349103864635
NPKI,Services-Miscellaneous Equipment Rental & Leasing,2018-09-30,1.0,2018,0.6690362342856355
NRC,Services-Commercial Physical & Biological Research,2018-06-30,1.0,2018,0.7282894771824254
NSIT,Retail-Catalog & Mail-Order Houses,2018-09-30,1.0,2018,0.5920890872064128
NSP,Services-Help Supply Services,2018-06-30,1.0,2018,0.7286061989330372
NTCT,Services-Computer Integrated Systems Design,2018-09-30,1.0,2018,0.8294608868485398
NTGR,Telephone & Telegraph Apparatus,2018-07-01,0.0,2018,0.7529141187566921
NTGR,Telephone & Telegraph Apparatus,2018-12-31,1.0,2018,0.37600572035957636
NTLA,In Vitro & In Vivo Diagnostic Substances,2018-03-31,0.0,2018,0.3031323720300107
NTLA,In Vitro & In Vivo Diagnostic Substances,2018-09-30,0.0,2018,0.3181769249138076
NTLA,In Vitro & In Vivo Diagnostic Substances,2018-12-31,0.0,2018,0.3117869174267057
NUS,"Wholesale-Drugs, Proprietaries & Druggists' Sundries",2018-03-31,0.0,2018,0.6453400414694769
NUS,"Wholesale-Drugs, Proprietaries & Druggists' Sundries",2018-06-30,1.0,2018,0.7625240231006181
NUTX,"Services-Business Services, NEC",2018-03-31,0.0,2018,0.15070398418820272
NUTX,"Services-Business Services, NEC",2018-06-30,0.0,2018,0.1412828559718846
NUTX,"Services-Business Services, NEC",2018-09-30,0.0,2018,0.13960483630409562
NVAX,"Biological Products, (No Diagnostic Substances)",2018-03-31,0.0,2018,0.3341377945487019
NVAX,"Biological Products, (No Diagnostic Substances)",2018-09-30,0.0,2018,0.3332929669551479
NVAX,"Biological Products, (No Diagnostic Substances)",2018-12-31,1.0,2018,0.31604067523311175
NVCR,Surgical & Medical Instruments & Apparatus,2018-03-31,1.0,2018,0.3796990985554368
NVRI,"Services-Services, NEC",2018-03-31,1.0,2018,0.6956148734070632
NVRI,"Services-Services, NEC",2018-06-30,1.0,2018,0.7206255782532637
NVST,Dental Equipment & Supplies,2018-09-28,0.0,2018,0.7205450873173982
NVT,Special Industry Machinery (No Metalworking Machinery),2018-06-30,1.0,2018,0.7810829177268073
NWL,"Plastics Products, NEC",2018-03-31,0.0,2018,0.318737249620481
NWL,"Plastics Products, NEC",2018-06-30,1.0,2018,0.6284534431264369
NWPX,Steel Pipe & Tubes,2018-03-31,0.0,2018,0.3659003298876897
NWPX,Steel Pipe & Tubes,2018-09-30,1.0,2018,0.6731550728975204
NWPX,Steel Pipe & Tubes,2018-12-31,1.0,2018,0.6179915936093393
NWS,Newspapers: Publishing or  Publishing & Printing,2018-12-31,1.0,2018,0.6699317887138063
NWSA,Newspapers: Publishing or  Publishing & Printing,2018-12-31,1.0,2018,0.6699317887138063
NX,Rolling Drawing & Extruding of  Nonferrous Metals,2018-07-31,0.0,2018,0.6929521650778387
NYT,Newspapers: Publishing or  Publishing & Printing,2018-07-01,1.0,2018,0.7174276293527397
OC,"Abrasive, Asbestos & Misc Nonmetallic Mineral Prods",2018-03-31,0.0,2018,0.6574333815602803
OC,"Abrasive, Asbestos & Misc Nonmetallic Mineral Prods",2018-06-30,0.0,2018,0.6356857311794339
OCUL,Pharmaceutical Preparations,2018-03-31,0.0,2018,0.1623737912532957
OCUL,Pharmaceutical Preparations,2018-09-30,0.0,2018,0.16146810018017246
OCUL,Pharmaceutical Preparations,2018-12-31,0.0,2018,0.11984705189965437
ODC,Miscellaneous Manufacturing Industries,2018-01-31,0.0,2018,0.8037814397986867
ODC,Miscellaneous Manufacturing Industries,2018-04-30,1.0,2018,0.6792341728292546
OFIX,Surgical & Medical Instruments & Apparatus,2018-03-31,1.0,2018,0.6072749946540189
OFIX,Surgical & Medical Instruments & Apparatus,2018-06-30,1.0,2018,0.7473382872096752
OFLX,"Heating Equip, Except Elec & Warm Air; & Plumbing Fixtures",2018-03-31,1.0,2018,0.6646655328044531
OFLX,"Heating Equip, Except Elec & Warm Air; & Plumbing Fixtures",2018-06-30,1.0,2018,0.7230119115778098
OI,Glass Containers,2018-03-31,0.0,2018,0.292383422196556
OI,Glass Containers,2018-06-30,0.0,2018,0.3533280485870296
OIS,Oil & Gas Field Machinery & Equipment,2018-03-31,1.0,2018,0.5651139360478385
OIS,Oil & Gas Field Machinery & Equipment,2018-06-30,1.0,2018,0.7768134405469848
OLED,Electronic Components & Accessories,2018-06-30,1.0,2018,0.7940042789513754
OLLI,Retail-Variety Stores,2018-08-04,1.0,2018,0.7558497242333357
OLN,Chemicals & Allied Products,2018-06-30,1.0,2018,0.8591703181274982
OM,Electromedical & Electrotherapeutic Apparatus,2018-12-31,0.0,2018,0.29649451717528785
OMER,Pharmaceutical Preparations,2018-03-31,0.0,2018,0.14867315360948635
OMER,Pharmaceutical Preparations,2018-06-30,0.0,2018,0.18853854475584605
OMER,Pharmaceutical Preparations,2018-09-30,1.0,2018,0.22219058521402002
OMER,Pharmaceutical Preparations,2018-12-31,1.0,2018,0.25395424651898496
ONEW,Retail-Auto & Home Supply Stores,2018-09-30,0.0,2018,0.43053013669965745
ONTO,"Measuring & Controlling Devices, NEC",2018-12-31,0.0,2018,0.5723465751091384
