ticker,sector,end,Y,ano_test,prob_breakeven_oof
NCNO,Services-Prepackaged Software,2020-01-31,1.0,2020,0.5508401199116166
NEON,"Electronic Components, NEC",2020-03-31,0.0,2020,0.13603703815545948
NEON,"Electronic Components, NEC",2020-06-30,0.0,2020,0.15358864203856865
NEON,"Electronic Components, NEC",2020-09-30,0.0,2020,0.16313441060567319
NEON,"Electronic Components, NEC",2020-12-31,0.0,2020,0.3344890944051011
NRDS,Services-Computer Processing & Data Preparation,2020-12-31,0.0,2020,0.5408418621000277
NSSC,"Communications Equipment, NEC",2020-12-31,1.0,2020,0.6487937767672647
NTCT,Services-Computer Integrated Systems Design,2020-09-30,1.0,2020,0.9280250753868837
NTNX,Services-Prepackaged Software,2020-01-31,1.0,2020,0.784974216223385
NTNX,Services-Prepackaged Software,2020-04-30,1.0,2020,0.5359955781273511
NTNX,Services-Prepackaged Software,2020-07-31,1.0,2020,0.4340794899109529
NTNX,Services-Prepackaged Software,2020-10-31,1.0,2020,0.4329844524387927
NVEC,Semiconductors & Related Devices,2020-09-30,1.0,2020,0.5603465756102601
NVTS,Semiconductors & Related Devices,2020-12-31,0.0,2020,0.4185839065572754
NXDR,"Services-Computer Programming, Data Processing, Etc.",2020-12-31,1.0,2020,0.39229911755075847
OLED,Electronic Components & Accessories,2020-06-30,1.0,2020,0.852821421978804
OMCL,Electronic Computers,2020-06-30,1.0,2020,0.8727704292427951
OOMA,Services-Computer Processing & Data Preparation,2020-01-31,1.0,2020,0.5141435854277352
OOMA,Services-Computer Processing & Data Preparation,2020-04-30,1.0,2020,0.4943303168138331
OSIS,Semiconductors & Related Devices,2020-12-31,0.0,2020,0.9104378294951936
OSPN,Services-Computer Integrated Systems Design,2020-03-31,1.0,2020,0.5232815444617593
OSPN,Services-Computer Integrated Systems Design,2020-06-30,1.0,2020,0.688841431835646
PATH,Services-Prepackaged Software,2020-01-31,1.0,2020,0.5221674982815605
PATH,Services-Prepackaged Software,2020-04-30,1.0,2020,0.34247879706224743
PCTY,Services-Prepackaged Software,2020-09-30,1.0,2020,0.5312108521190199
PCTY,Services-Prepackaged Software,2020-12-31,1.0,2020,0.8356329235144568
PD,Services-Prepackaged Software,2020-04-30,1.0,2020,0.43942711437473103
PDFS,Services-Prepackaged Software,2020-06-30,0.0,2020,0.741535540305744
PDYN,Services-Prepackaged Software,2020-09-30,0.0,2020,0.24116544762615513
PDYN,Services-Prepackaged Software,2020-12-31,0.0,2020,0.14938849245793667
PEGA,Services-Computer Processing & Data Preparation,2020-03-31,1.0,2020,0.5181140242477766
PEGA,Services-Computer Processing & Data Preparation,2020-09-30,1.0,2020,0.45821574128605724
PENG,Semiconductors & Related Devices,2020-02-28,1.0,2020,0.9036160003299942
PI,"Electronic Components, NEC",2020-06-30,1.0,2020,0.4045271068842422
PI,"Electronic Components, NEC",2020-09-30,1.0,2020,0.4197073337136883
PI,"Electronic Components, NEC",2020-12-31,1.0,2020,0.5110852182181562
PL,Radio & Tv Broadcasting & Communications Equipment,2020-01-31,1.0,2020,0.5054088353289876
PLAB,Semiconductors & Related Devices,2020-05-03,1.0,2020,0.7721715194966744
PLTK,Services-Computer Processing & Data Preparation,2020-03-31,1.0,2020,0.6717520502891163
PLTK,Services-Computer Processing & Data Preparation,2020-06-30,1.0,2020,0.46890606121308287
POWI,Semiconductors & Related Devices,2020-06-30,1.0,2020,0.8986595216219961
PRCH,Services-Prepackaged Software,2020-03-31,0.0,2020,0.5702587816444897
PRCH,Services-Prepackaged Software,2020-09-30,0.0,2020,0.4843566370372555
PRCH,Services-Prepackaged Software,2020-12-31,0.0,2020,0.3952290484048763
PRGS,Services-Prepackaged Software,2020-05-31,1.0,2020,0.9272883535597511
PSN,Services-Computer Integrated Systems Design,2020-03-31,1.0,2020,0.80951200766005
PSN,Services-Computer Integrated Systems Design,2020-06-30,1.0,2020,0.7877206197046658
PSTG,Computer Storage Devices,2020-08-02,1.0,2020,0.9116077450259839
PUBM,"Services-Computer Programming, Data Processing, Etc.",2020-06-30,1.0,2020,0.5990951301367935
QBTS,Services-Computer Processing & Data Preparation,2020-12-31,0.0,2020,0.3297965268006696
QLYS,Services-Prepackaged Software,2020-06-30,1.0,2020,0.9718238026603679
QRVO,Semiconductors & Related Devices,2020-10-03,1.0,2020,0.9085419724189048
QTWO,Services-Prepackaged Software,2020-03-31,0.0,2020,0.6112901958182373
QTWO,Services-Prepackaged Software,2020-06-30,1.0,2020,0.5839514469318392
QUBT,Services-Prepackaged Software,2020-03-31,0.0,2020,0.1880560391792876
QUBT,Services-Prepackaged Software,2020-06-30,0.0,2020,0.16940127434535834
QUBT,Services-Prepackaged Software,2020-09-30,0.0,2020,0.24072643487360817
QUBT,Services-Prepackaged Software,2020-12-31,0.0,2020,0.2101387368976479
RAMP,Services-Computer Processing & Data Preparation,2020-06-30,0.0,2020,0.5530631820821259
RAMP,Services-Computer Processing & Data Preparation,2020-09-30,0.0,2020,0.7269172744785195
RBBN,Services-Computer Integrated Systems Design,2020-06-30,0.0,2020,0.829455772206865
RCAT,Services-Prepackaged Software,2020-01-31,0.0,2020,0.14148352480207543
RCAT,Services-Prepackaged Software,2020-04-30,0.0,2020,0.11518162723530331
RCAT,Services-Prepackaged Software,2020-07-31,0.0,2020,0.11041864790927304
RMBS,Semiconductors & Related Devices,2020-06-30,1.0,2020,0.8510705359015946
RNG,Services-Computer Processing & Data Preparation,2020-06-30,1.0,2020,0.7606597332353603
RNG,Services-Computer Processing & Data Preparation,2020-09-30,1.0,2020,0.6471652605317852
RNG,Services-Computer Processing & Data Preparation,2020-12-31,1.0,2020,0.6299148092464734
RPD,Services-Prepackaged Software,2020-03-31,1.0,2020,0.46117368858044133
RPD,Services-Prepackaged Software,2020-06-30,1.0,2020,0.7526794037581532
RXT,"Services-Computer Programming, Data Processing, Etc.",2020-06-30,1.0,2020,0.9208991119315095
S,Services-Prepackaged Software,2020-01-31,0.0,2020,0.43215239185260834
S,Services-Prepackaged Software,2020-10-31,0.0,2020,0.28818623167068813
SEMR,Services-Prepackaged Software,2020-06-30,1.0,2020,0.7136203145314948
SHLS,Semiconductors & Related Devices,2020-06-30,0.0,2020,0.6760602576082635
SITM,Semiconductors & Related Devices,2020-06-30,1.0,2020,0.6056326918778319
SKIL,Services-Prepackaged Software,2020-01-31,1.0,2020,0.4859249137825613
SKIL,Services-Prepackaged Software,2020-03-31,1.0,2020,0.25887245618766175
SKIL,Services-Prepackaged Software,2020-08-27,0.0,2020,0.5513168780029721
SKIL,Services-Prepackaged Software,2020-09-30,1.0,2020,0.22784121653703499
SKYT,Semiconductors & Related Devices,2020-09-27,0.0,2020,0.6795367576616697
SLAB,Semiconductors & Related Devices,2020-07-04,1.0,2020,0.9433898351855081
SLP,Services-Computer Integrated Systems Design,2020-02-29,1.0,2020,0.7099830648774059
SMTC,Semiconductors & Related Devices,2020-07-26,1.0,2020,0.9417700602469621
SPSC,Services-Prepackaged Software,2020-06-30,1.0,2020,0.8925721909831066
SPT,Services-Prepackaged Software,2020-03-31,1.0,2020,0.3643170877954831
SPT,Services-Prepackaged Software,2020-09-30,1.0,2020,0.4768267897322053
SPT,Services-Prepackaged Software,2020-12-31,1.0,2020,0.5861331411537962
SSTI,Services-Prepackaged Software,2020-06-30,1.0,2020,0.739792179576426
SSTK,Services-Computer Processing & Data Preparation,2020-06-30,1.0,2020,0.9135229643574434
SWKS,Semiconductors & Related Devices,2020-03-27,1.0,2020,0.9038933250655171
SYNA,Semiconductors & Related Devices,2020-12-26,1.0,2020,0.8554682091348058
TBCH,"Communications Equipment, NEC",2020-06-30,1.0,2020,0.6567106643414693
TBRG,Services-Computer Programming Services,2020-06-30,1.0,2020,0.6034080028762612
TCX,Services-Computer Processing & Data Preparation,2020-06-30,1.0,2020,0.8231640520277332
TDC,Services-Prepackaged Software,2020-06-30,1.0,2020,0.7707028288037485
TLS,Services-Computer Integrated Systems Design,2020-06-30,0.0,2020,0.8011526847837345
TLS,Services-Computer Integrated Systems Design,2020-12-31,0.0,2020,0.41036922042878365
TRAK,Services-Computer Processing & Data Preparation,2020-03-31,1.0,2020,0.5067104082893916
TRAK,Services-Computer Processing & Data Preparation,2020-12-31,1.0,2020,0.6215203498789347
TRIP,"Services-Computer Programming, Data Processing, Etc.",2020-03-31,0.0,2020,0.6023813477960559
TRIP,"Services-Computer Programming, Data Processing, Etc.",2020-06-30,1.0,2020,0.8288680947055731
TRIP,"Services-Computer Programming, Data Processing, Etc.",2020-09-30,1.0,2020,0.5366198900994185
TRIP,"Services-Computer Programming, Data Processing, Etc.",2020-12-31,1.0,2020,0.638329162741992
U,Services-Prepackaged Software,2020-03-31,1.0,2020,0.5686814480086908
UCTT,Semiconductors & Related Devices,2020-06-26,1.0,2020,0.7437520114089115
UIS,Services-Computer Integrated Systems Design,2020-03-31,0.0,2020,0.5833774839160654
UIS,Services-Computer Integrated Systems Design,2020-06-30,0.0,2020,0.6452839570516139
