cik,nombre,sic,sic_descripcion,ticker,bolsa
1597033,Sabre Corp,7370.0,"Services-Computer Programming, Data Processing, Etc.",SABR,Nasdaq
1095565,HEALTHSTREAM INC,7370.0,"Services-Computer Programming, Data Processing, Etc.",HSTM,Nasdaq
1549346,"Shutterstock, Inc.",7374.0,Services-Computer Processing & Data Preparation,SSTK,NYSE
708821,PAR TECHNOLOGY CORP,3578.0,Calculating & Accounting Machines (No Electronic Computers),PAR,NYSE
1846069,"Nextdoor Holdings, Inc.",7370.0,"Services-Computer Programming, Data Processing, Etc.",NXDR,NYSE
1743759,"Corsair Gaming, Inc.",3577.0,"Computer Peripheral Equipment, NEC",CRSR,Nasdaq
1640428,"EverQuote, Inc.",7370.0,"Services-Computer Programming, Data Processing, Etc.",EVER,Nasdaq
1866633,"Consensus Cloud Solutions, Inc.",7372.0,Services-Prepackaged Software,CCSI,Nasdaq
1720116,"Red Violet, Inc.",7372.0,Services-Prepackaged Software,RDVT,Nasdaq
1500412,"Ambiq Micro, Inc.",3674.0,Semiconductors & Related Devices,AMBQ,NYSE
1487952,"Vishay Precision Group, Inc.",3670.0,Electronic Components & Accessories,VPG,NYSE
1841925,"indie Semiconductor, Inc.",3674.0,Semiconductors & Related Devices,INDI,Nasdaq
1743725,"GRID DYNAMICS HOLDINGS, INC.",7372.0,Services-Prepackaged Software,GDYN,Nasdaq
1173489,CEVA INC,7370.0,"Services-Computer Programming, Data Processing, Etc.",CEVA,Nasdaq
1683606,Cars.com Inc.,7374.0,Services-Computer Processing & Data Preparation,CARS,NYSE
1681622,Varex Imaging Corp,3679.0,"Electronic Components, NEC",VREX,Nasdaq
1514416,Bandwidth Inc.,7372.0,Services-Prepackaged Software,BAND,Nasdaq
1810019,"Rackspace Technology, Inc.",7370.0,"Services-Computer Programming, Data Processing, Etc.",RXT,Nasdaq
1874315,Satellogic Inc.,3663.0,Radio & Tv Broadcasting & Communications Equipment,SATL,Nasdaq
1774170,"Powerfleet, Inc.",3669.0,"Communications Equipment, NEC",AIOT,Nasdaq
1560327,"Rapid7, Inc.",7372.0,Services-Prepackaged Software,RPD,Nasdaq
1044777,OneSpan Inc.,7373.0,Services-Computer Integrated Systems Design,OSPN,Nasdaq
1327688,OOMA INC,7374.0,Services-Computer Processing & Data Preparation,OOMA,NYSE
1720420,IBEX Ltd,7374.0,Services-Computer Processing & Data Preparation,IBEX,Nasdaq
1708055,Ribbon Communications Inc.,7373.0,Services-Computer Integrated Systems Design,RBBN,Nasdaq
1422930,"PubMatic, Inc.",7370.0,"Services-Computer Programming, Data Processing, Etc.",PUBM,Nasdaq
1849396,Nexxen International Ltd.,7370.0,"Services-Computer Programming, Data Processing, Etc.",NEXN,Nasdaq
1855747,"Blend Labs, Inc.",7370.0,"Services-Computer Programming, Data Processing, Etc.",BLND,NYSE
771266,KOPIN CORP,3674.0,Semiconductors & Related Devices,KOPN,Nasdaq
1609151,"Weave Communications, Inc.",7372.0,Services-Prepackaged Software,WEAV,NYSE
945983,"Climb Global Solutions, Inc.",5045.0,Wholesale-Computers & Peripheral Equipment & Software,CLMB,Nasdaq
1110611,ON24 INC.,7372.0,Services-Prepackaged Software,ONTF,NYSE
1517375,"Sprout Social, Inc.",7372.0,Services-Prepackaged Software,SPT,Nasdaq
910638,3D SYSTEMS CORP,7372.0,Services-Prepackaged Software,DDD,NYSE
